Make,Model,Year,Transmission Type,Color,Type,Location,Price
Mercedes-Benz,GLC-Class,2018,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 44,200,000"
Toyota,Tundra,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 37,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 19,850,000"
Lexus,RX 350,2014,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 28,000,000"
Lexus,RX 350 AWD,2014,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 32,000,000"
Lexus,RX 350 AWD,2013,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Mercedes-Benz,GLE-Class GLE 350d 4MATIC,2017,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 43,000,000"
Lexus,GX 460 Luxury,2020,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 94,500,000"
Peugeot,206 1.4,2005,Manual,Red,Local Used,"Plateau, Jos","₦ 2,150,000"
Lexus,RX 350,2014,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,000,000"
Toyota,Sienna LE 7 Passenger,2012,Automatic,Black,Foreign Used,"Abuja, Galadimawa","₦ 14,200,000"
Mercedes-Benz,GLK-Class,2010,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,500,000"
Mercedes-Benz,GLE-Class,2017,Automatic,Blue,Foreign Used,"Lagos, Ojota","₦ 52,000,000"
Lexus,RX 350 F Sport AWD,2017,Automatic,Blue,Local Used,"Enugu, Enugu / Enugu State","₦ 39,200,000"
Mercedes-Benz,E200,2012,Automatic,Black,Local Used,"Lagos, Yaba","₦ 10,999,999"
Mercedes-Benz,GLC-Class,2016,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 36,000,000"
Lexus,RX,2006,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,500,000"
Toyota,Tundra,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 37,000,000"
Lexus,RX,2009,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,450,000"
Lexus,RX 330,2004,Automatic,Silver,Foreign Used,Imo,"₦ 12,500,000"
Lexus,RX 350,2017,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 60,000,000"
Mercedes-Benz,GLE-Class GLE 350d 4MATIC,2016,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 43,000,000"
Toyota,Corolla,2015,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 17,500,000"
Hyundai,Sonata,2012,Automatic,Silver,Local Used,"Lagos, Ajah","₦ 6,000,000"
Mercedes-Benz,GLK-Class,2010,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,500,000"
Mercedes-Benz,GLK-Class,2013,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 22,700,000"
Lexus,RX 350 AWD,2014,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 32,000,000"
Mercedes-Benz,M Class ML 350 BlueTEC 4Matic,2012,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 26,500,000"
Lexus,ES 350 FWD,2014,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Mercedes-Benz,GLE-Class GLE 350d 4MATIC,2017,Automatic,Blue,Foreign Used,"Lagos, Ikeja","₦ 43,000,000"
Lexus,GX 460 Luxury,2020,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 94,500,000"
Peugeot,206 1.4,2005,Manual,Red,Local Used,"Plateau, Jos","₦ 2,150,000"
Lexus,RX 350,2013,Automatic,Silver,Foreign Used,"Lagos, Agege","₦ 26,000,000"
Lexus,ES 350,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Lexus,ES 350,2011,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,000,000"
Lexus,RX 350 AWD,2013,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Lexus,RX 330,2006,Automatic,Beige,Local Used,"Enugu, Enugu / Enugu State","₦ 9,600,000"
Toyota,Fortuner,2020,Automatic,Black,Local Used,"Abuja, Kaura","₦ 44,900,000"
